timetweet,isitweet,favcount,retwcount,id,name
2022-11-29 11:31:45,b'RT @pie_pumpkinpies: \xc2\xb0 Jersey bola piala dunia Qatar 2022 \xc2\xb0 \n\na thread https://t.co/pascMMsENP',0,14,1597553899849732096,jogiyeokx
2022-11-29 11:31:43,"b'Cristiano Ronaldo mengirim pesan kepada Piers Morgan usai laga Piala Dunia 2022 Portugal vs Uruguay bahwa dia adalah pencetak gol pertama, bukan Bruno Fernandes. | 77577sports #77577sports #cristianoronaldo #piersmorgan #alexilalas #timnasportugal #pialadunia2022 https://t.co/mSP7qSp67G'",0,0,1597553891222384641,77577SportsIDN
2022-11-29 11:31:04,"b'RT @CoachJustinL: OFFSIDE DUO #11 : ARGENTINA-JERMAN GAK PERLU PANIK, PIALA DUNIA TERBURUK? https://t.co/ewYXndjYsR via @YouTube'",0,2,1597553729787424769,Nitizen_Zen
2022-11-29 11:31:03,"b'7 Selebritis Tanah Air Ini Punya Jagoan Sendiri di Piala Dunia 2022, Ada yang Dukung Negara Non-Unggulan https://t.co/OIxKmpFP4i'",1,0,1597553723538288641,KapanLagicom
2022-11-29 11:31:03,b'ada yang jual Vidio buat nonton piala dunia ga? #zonajajan',0,0,1597553721809899520,pisiganteng
2022-11-29 11:30:57,b'RT @rutoriess: \xe2\x9c\xa8 rekomendasi dress wanita \xe2\x9c\xa8\n\nA thread.\n\n\xe3\x85\xa1 tag [#MetUltahCipung rans entertaiment rafi ahmad ronaldo piala dunia shopee-ku c\xe2\x80\xa6',0,213,1597553698938331136,gyuwii
2022-11-29 11:30:42,"b'Habis nonton Piala Dunia, mata kok jadi begini \xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/b30nPgGHtm'",6,0,1597553633998278658,branjangankawat
2022-11-29 11:30:41,b'TV gak mau hidup\nPadahal piala dunia masih belum usai\n\nBeli baru atau benerin TV lama dulu sementara?',0,0,1597553630487678976,nailul_ihsan
2022-11-29 11:30:32,b'RT @gaspoll2024: Gus Muhaimin apresiasi perhelatan Piala Dunia Qatar 2022\n\n#gaspoll #GusMuhaiminAsikPoll #CakImin #MuhaiminIskandar #qatar\xe2\x80\xa6',0,1,1597553592080424960,Bambangelf
2022-11-29 11:30:17,b'@Valhallaah @mx00711 @agama_nusantara @bnsphrx @AbahDeon @_christing_ Maaf lg sibuk piala dunia \xf0\x9f\x98\x9b\xf0\x9f\x98\x9b',0,0,1597553531581792257,soegihardjo67
